Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Estimates Start After
Philippines,54.533,52.696,63.108,75.038,60.485,57.753,50.143,52.618,49.35,52.362,58.15,58.614,62.77,67.748,66.343,60.249,53.264,46.109,46.693,47.057,44.68,44.43,2010
Poland,n/a,n/a,n/a,n/a,n/a,48.989,43.39,42.926,38.889,39.567,36.787,37.562,42.16,47.053,45.686,47.088,47.738,44.986,47.108,50.922,54.982,55.952,2008
Portugal,57.275,60.796,55.261,54.438,57.473,59.179,58.289,54.43,50.397,49.554,48.476,51.195,53.843,55.878,57.647,62.753,63.916,68.266,71.582,83.01,92.919,106.03,2009
Qatar,10.895,17.369,20.266,37.705,42.745,42.358,47.638,50.692,64.304,65.512,54.991,56.715,45.462,37.074,26.015,17.584,12.126,8.001,8.95,28.804,27.029,27.859,2009
Romania,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,21.098,17.638,12.622,12.72,13.639,23.934,31.739,34.358,2010
Russia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,98.98,59.859,47.613,40.305,30.359,22.316,14.24,9.048,8.511,7.876,10.967,11.747,11.681,2010
Rwanda,n/a,n/a,n/a,n/a,n/a,119.541,99.007,85.695,83.171,92.98,102.537,98.67,107.928,100.643,90.831,70.687,26.579,26.901,21.366,23.021,23.238,24.427,2010
São Tomé and Príncipe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,413.534,348.381,323.799,304.205,313.852,304.449,108.966,59.226,31.047,71.394,82.358,2009
Saudi Arabia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,103.478,87.183,93.703,96.891,82.034,65.041,38.865,27.299,18.495,13.157,15.935,9.946,7.091,2009
Senegal,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,74.45,71.501,68.419,54.701,47.508,45.66,23.01,24.471,24.992,31.959,37.951,40.036,2009
